id,paper_section,claim,value,reproduced_this_session,producer,runtime_s,note
R1,3,Rest-scaffold reduction exact: engine step moves nothing,"0 of 247,904 states moved; 0 of 12,320 perturbation constructions wrong",yes,measurements/scaffold_reduction_is_exact.py,70,"Record (L-493, CHECKPOINT_079) says 2,318,880 states: that count used the pre-MS-C-896 dedup (443 duplicated scaffolds). Paper uses 247,904 over the 36 canonical classes."
R2,3,Abstract map equals production engine,"0 of 247,904 states disagree",yes,measurements/abstract_map_equals_engine.py,113,
R3,3,Mechanics inert on HEX_7 (sampled),"0 of 537 sampled states moved (every 977th of 524,288)",yes,measurements/scaffold_mechanics_inert.py,3,"sampled, supplementary"
R4,3,Triangle-free scaffolds never form a bond,"0 of 270,592 triangle-free states form; both triangled scaffolds do",yes,measurements/triangle_free_no_formation.py,105,
R5,3,Per-edge support bound E_dyn subset {s_C(e) >= m},"0 formations and 0 flickers below the bound over 1,927,680 (state, edge) pairs; 353,220 formations above",yes,measurements/edge_support_theorem.py,70,
T1,4,"Cover-monotonicity lemma on production engine, birth != survival allowed","0 violations in 8,628,128 engine calls with birth_hi < 1 (2,539,200 full n<=4 + 6,088,928 sampled n<=5); non-vacuity 307,372 + 780,208 births at birth_hi = 1",yes,tools/verify_review_combinatorics.py (part D),666,matches HANDOFF_002 corrected figure (MS-C-854)
T2,4,No nontrivial fixed-graph cycle with independent passive set under U0 band,"U0 [1/6,1/2]: 501,636 nontrivial cycles, 0 with independent passive set; control [1/6,1]: 127,030 cycles, 119,198 with",yes,tools/verify_review_combinatorics.py (part B),666,sealed claim S3 confirmed
T3,4,"Window bound [1/3, 5/11] at live cover fixed points","22,567 live cover fixed points (33,861 labelled graphs, n<=6), 0 violations; 4,147 at the lower edge; general form 16 bands, 501,583 fixed points, 0 violations; upper edge attained at n=7",yes,external_review/tools/passive_degree_window.py,291,iso-class breakdown: tools/verify_window_iso_classes.py (89 coloured iso classes)
S1,5,"Rest objects at U0 genome (96 seeds, horizon 8192, initial active fraction 0.5)","7 loose, 6 strict rest [8,18,19,35,63,68]; 6 of 7 topological (seed 18 is an LLNA blinker); strict AND topological = 5 [8,19,35,63,68]",yes,measurements/object_count_strict.py + measurements/is_the_blinker_topological.py,83,depends on COUPLING_RATIO_001 artefact trajectories
S2,5,Census of realizable rest scaffolds n=3..6,"36 classes (ceiling 141), 13 carry an OBJECT, 3 hold a writable topological bit",yes,measurements/scaffold_census_recount.py,103,
S3,5,Robustness of writable bits,0 of 22 reversible object pairs retain value under a majority of single-node operations,yes,measurements/scaffold_bit_robustness.py,47,
S4,5,Minimal clocked two-bit register,"1 positive class of 491 (36,080,480 states): n=7, E=10, graph6 F}qCG; 282 attractors, 112 period-2 OBJECT, 48 witnesses; none at n<=6 or n=7,E<=9",yes,measurements/two_bit_register_minimality.py via paper_repro/shard_minimality.py + merge_minimality.py (12 shards),762,serial run exceeded 5400 s cap here; the script's final line prints '16 workers' but the code is serial (stale label)
S5,5,Register is physically realizable: explicit coordinates,"check_lemma passes: 10 candidate pairs exactly r0, 4 triangles, nearest non-candidate 1.4547; production engine over all 131,072 states: 0 moved, 282 attractors, 112 period-2 OBJECT, 48 witnesses; control pairs among nodes {4,5,6}",yes (new),paper_repro/register_geometry.py,,"coordinates constructed in this session (hub at origin, unit sphere, one-ulp nudge of sqrt(3)/2); record's L-509 coordinates were not committed"
S6,5,Register robustness to single flips,"48 witnesses x 8 states x 7 node flips = 2,688: 384 (exactly the designed writes) land on another register state, 1,152 extinct, 1,152 other attractor, 0 keep the attractor; bond flips 144 of 3,840 keep it",yes (new),paper_repro/register_robustness.py,10,
N1,6,Matched null on lattice-admissible classes,"13/36 reachable vs base 73/141 (0.70x, p=0.991); matched (n,E) 10 cells p=0.00821; matched (n,E,triangles) 9 cells p=0.9638",yes,measurements/physics_selected_graphs.py,1340,
N2,6,Matched null on settled graphs,built 0.1099 vs null 0.1010; 98W/97L/4T over 195 pairs; sign test p=0.5; 199/200 seeds at rest,yes,"measurements/built_graph_beyond_structure.py (serial) or paper_repro/matched_null_parallel.py full/merge (14 shards, identical 98/97/4)",4470,"genome q = repulsion_cutoff/r0 = 1.0, NOT U0's 0.75 -- must be stated; per-seed replay must not serialize adjacency sets: score() maps random bond bits by set iteration order"
N3,6,Flat bond-energy landscape on rest scaffold,"200 random bond sets: spread 0.000e+00; settled scaffolds median spread 0.982, one-flip barrier median 0.0220; formation uphill in 967 of 967 candidate pairs",yes,measurements/bond_energy_landscape.py,21,
